"name","price","category","gender","sizes","fit","description","details","story","fabricCare","shipping","image","image2","image3","image4","totalStock","remainingStock","supplierReservedStock","featured"
"Noir Geometric Oversized Tee","799","men","men","S,M,L,XL,XXL,3XL","Boxy","Black oversized premium tee with a bold metallic geometric 3D core design for a sharp modern statement. 100% cotton except the prints","Limited edition | Oversized street fit | High-definition metallic geometric print | Premium heavy cotton | FewCo back logo","Inspired by industrial design and architectural precision, crafted for individuals who prefer bold, structured, and refined streetwear.","240 GSM cotton | Cold wash | Do not bleach | Wash inside out | Do not iron on print","Ships in 2-4 days | Delivery in 5-7 days | Exchange only for size if stock is available","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male1.jpeg","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male12.jpeg","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male13.jpeg","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male14.jpeg","100","70","0","TRUE"
"Core Tech Pulse Tee","799","men","men","S,M,L,XL,XXL,3XL","Relaxed","Dark pink premium tee featuring a bold futuristic mechanical core graphic with high-detail precision print for a strong statement look. 100% cotton except the prints","Limited edition | High-definition tech-core graphic | Premium print finish | Soft breathable cotton | Structured masculine silhouette | FewCo back logo","Inspired by futuristic engineering and mechanical symmetry, designed for individuals who carry power, precision, and a rare identity in everyday style.","220 GSM cotton | Cold wash | Do not bleach | Wash inside out | Do not iron on print","Ships in 2-4 days | Delivery in 5-7 days | Exchange only for size if stock is available","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male2.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male22.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male23.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male23.png","100","68","0","TRUE"
"Geometric Core Oversized Tee","799","men","men","S,M,L,XL,XXL,3XL","Boxy","White oversized premium tee with a bold geometric 3D abstract core design for a modern elevated look. 100% cotton except the prints","Limited edition | Oversized street fit | High-definition 3D geometric print | Premium heavy cotton | FewCo back logo","Inspired by architectural symmetry and modern abstract forms, crafted for individuals who prefer bold yet refined streetwear.","240 GSM cotton | Cold wash | Do not bleach | Wash inside out | Do not iron on print","Ships in 2-4 days | Delivery in 5-7 days | Exchange only for size if stock is available","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male3.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/MALE32.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/MALE33.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/MALE34.png","100","70","0","TRUE"
"Compass Core Oversized Tee","799","men","men","S,M,L,XL,XXL,3XL","Boxy","Light pink oversized premium tee featuring a minimal compass graphic in soft gold tones for a clean aesthetic look. 100% cotton except the prints","Limited edition | Oversized street fit | Soft-tone compass graphic print | Premium heavy cotton | FewCo cursive back logo","Inspired by direction, exploration, and individuality — designed for those who follow their own path with subtle confidence.","240 GSM cotton | Cold wash | Do not bleach | Wash inside out | Do not iron on print","Ships in 2-4 days | Delivery in 5-7 days | Exchange only for size if stock is available","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/MALE4.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/MALE42.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/MALE43.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/MALE44.png","100","72","0","TRUE"
"Armor Core Oversized Tee","999","men","men","S,M,L,XL,XXL,3XL","Boxy","White oversized premium tee featuring a bold metallic armor-inspired 3D graphic for a powerful and futuristic look. 100% cotton except the prints","Limited edition | Oversized street fit | High-definition armor graphic print | Premium heavy cotton | FewCo cursive back logo","Inspired by strength, protection, and futuristic warrior aesthetics — designed for individuals who carry bold energy and standout presence.","240 GSM cotton | Cold wash | Do not bleach | Wash inside out | Do not iron on print","Ships in 2-4 days | Delivery in 5-7 days | Exchange only for size if stock is available","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/MALE5.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/MALE52.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/MALE53.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/MALE54.png","100","65","0","TRUE"
"Neo Peace Backprint Tee","999","men","men","S,M,L,XL,XXL,3XL","Boxy","Navy blue oversized premium tee featuring a bold neon-style back graphic with a modern peace-inspired concept and minimal front logo. 100% cotton except the prints","Limited edition | Oversized street fit | Neon gradient back print | Minimal front chest branding | Premium heavy cotton | FewCo logo","Inspired by the contrast between chaos and calm, this design represents choosing individuality, expression, and peace in a loud world.","240 GSM cotton | Cold wash | Do not bleach | Wash inside out | Do not iron on print","Ships in 2-4 days | Delivery in 5-7 days | Exchange only for size if stock is available","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male6.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male62.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male63.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male64.png","100","60","0","TRUE"
"Cosmic Flow Oversized Tee","999","men","men","S,M,L,XL,XXL,3XL","Boxy","Deep blue oversized premium tee featuring a glowing cosmic swirl graphic for a futuristic and eye-catching look. 100% cotton except the prints","Limited edition | Oversized street fit | High-definition galaxy swirl print | Premium heavy cotton | FewCo cursive back logo","Inspired by the endless flow of the universe and energy, designed for individuals who move with their own rhythm and stand out effortlessly.","240 GSM cotton | Cold wash | Do not bleach | Wash inside out | Do not iron on print","Ships in 2-4 days | Delivery in 5-7 days | Exchange only for size if stock is available","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male71.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male72.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male73.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male74.png","100","66","0","TRUE"
"Celestial Blade Oversized Tee","999","men","men","S,M,L,XL,XXL,3XL","Boxy","Light blue oversized tee featuring a bold winged sword graphic at the back and minimal front branding for a clean yet powerful aesthetic. 100% cotton except the prints","Oversized streetwear fit | Back statement graphic | Minimal front logo | Premium soft cotton | Breathable fabric | Clean luxury finish","Inspired by strength and balance, the winged sword represents power with purpose — a blend of calm aesthetics and bold identity for modern streetwear","240 GSM cotton | Cold wash | Wash inside out | Do not bleach | Do not iron on print","Ships in 2-4 days | Delivery in 5-7 days | Easy size exchange available","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male8.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male82.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male83.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male84.png","100","85","0","TRUE"
"Frost Skull Oversized Tee","999","men","men","S,M,L,XL,XXL,3XL","Boxy","Light blue oversized tee featuring a bold icy skull graphic at the back with glowing elements and minimal FewCo logo on the front chest for a strong streetwear aesthetic. 100% cotton except the prints","Oversized drop-shoulder fit | Back statement skull artwork | Minimal front branding | Premium soft cotton | Breathable & lightweight | High-definition print finish","Inspired by cold intensity and fearless identity, the frost skull represents power, rebellion, and a calm yet dangerous aura for modern streetwear lovers","240 GSM cotton | Cold wash only | Wash inside out | Do not bleach | Avoid ironing on print","Ships in 2-4 days | Delivery in 5-7 days | Easy exchange available","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male9.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male92.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male93.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male94.png","100","88","0","TRUE"
"Shadow Eagle Regular Tee","999","men","men","S,M,L,XL,XXL,3XL","Relaxed","Grey regular-fit tee featuring a medium-sized monochrome flying eagle graphic on the back with minimal FewCo logo on the front chest for a clean and bold everyday look. 100% cotton except the prints","Regular fit | Back eagle artwork (single-color grey/black tone) | Minimal front branding | Soft","Inspired by cold intensity and fearless identity, theeagle represents power, rebellion, and a calm yet dangerous aura for modern streetwear lovers","240 GSM cotton | Cold wash only | Wash inside out | Do not bleach | Avoid ironing on print","Ships in 2-4 days | Delivery in 5-7 days | Easy exchange available","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male10.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male10_2.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male10_3.png","https://raw.githubusercontent.com/Megha21337/website-assets/main/folder/male10_4.png","100","88","0","TRUE"
